Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.052572,0.86,7,-0.9544172704,0,0.9341
1,-0.095835,0.86,,,,
2,-0.204979,0.86,,,,
3,-0.3881,0.86,,,,
4,-0.575686,0.86,,,,
5,-0.685275,0.86,,,,
6,-0.731373,0.86,,,,
7,-0.766091,0.86,,,,
8,-0.811793,0.86,,,,
9,-0.843807,0.86,,,,
10,-0.850873,0.86,,,,
11,-0.850724,0.86,,,,
12,-0.858868,0.86,,,,
13,-0.877178,0.86,,,,
14,-0.896862,0.86,,,,
15,-0.909862,0.86,,,,
16,-0.916829,0.86,,,,
17,-0.919445,0.86,,,,
18,-0.917486,0.86,,,,
19,-0.915394,0.86,,,,
20,-0.919778,0.86,,,,
21,-0.930395,0.86,,,,
22,-0.942428,0.86,,,,
23,-0.951606,0.86,,,,
24,-0.954417,0.86,,,,
