Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.089825,0.86,7,-0.9427838726,0.05,5.679
1,0.010763,0.86,,,,
2,0.002101,0.86,,,,
3,0.004951,0.86,,,,
4,-0.00262,0.86,,,,
5,-0.02563,0.86,,,,
6,-0.068676,0.86,,,,
7,-0.138692,0.86,,,,
8,-0.233976,0.86,,,,
9,-0.346836,0.86,,,,
10,-0.445564,0.86,,,,
11,-0.522864,0.86,,,,
12,-0.621609,0.86,,,,
13,-0.742851,0.86,,,,
14,-0.840211,0.86,,,,
15,-0.875931,0.86,,,,
16,-0.876518,0.86,,,,
17,-0.867951,0.86,,,,
18,-0.861063,0.86,,,,
19,-0.867748,0.86,,,,
20,-0.890286,0.86,,,,
21,-0.913229,0.86,,,,
22,-0.927081,0.86,,,,
23,-0.937585,0.86,,,,
24,-0.942784,0.86,,,,
