Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.021826,0.82,7,-0.9772951758,0.05,27.381
1,-0.003688,,,,,
2,-0.033023,,,,,
3,-0.122314,,,,,
4,-0.281857,,,,,
5,-0.472217,,,,,
6,-0.613529,,,,,
7,-0.742147,,,,,
8,-0.842387,,,,,
9,-0.882603,,,,,
10,-0.886292,,,,,
11,-0.904661,,,,,
12,-0.931004,,,,,
13,-0.937932,,,,,
14,-0.928544,,,,,
15,-0.929211,,,,,
16,-0.946828,,,,,
17,-0.963258,,,,,
18,-0.963288,,,,,
19,-0.955007,,,,,
20,-0.954568,,,,,
21,-0.962914,,,,,
22,-0.971861,,,,,
23,-0.976518,,,,,
24,-0.977295,,,,,
