Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.037855,0.86,7,-0.9504764229,0.05,7.6331
1,-0.048433,0.86,,,,
2,-0.116485,0.86,,,,
3,-0.217449,0.86,,,,
4,-0.327909,0.86,,,,
5,-0.391955,0.86,,,,
6,-0.456285,0.86,,,,
7,-0.54846,0.86,,,,
8,-0.656788,0.86,,,,
9,-0.753901,0.86,,,,
10,-0.822917,0.86,,,,
11,-0.861266,0.86,,,,
12,-0.873842,0.86,,,,
13,-0.87737,0.86,,,,
14,-0.884329,0.86,,,,
15,-0.89879,0.86,,,,
16,-0.911876,0.86,,,,
17,-0.917787,0.86,,,,
18,-0.923668,0.86,,,,
19,-0.935285,0.86,,,,
20,-0.947039,0.86,,,,
21,-0.950698,0.86,,,,
22,-0.948116,0.86,,,,
23,-0.947469,0.86,,,,
,,0.86,,,,
