Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.026409,0.82,7,-0.9722833387,0,0.9424
1,-0.303947,,,,,
2,-0.60504,,,,,
3,-0.782513,,,,,
4,-0.865345,,,,,
5,-0.866276,,,,,
6,-0.845687,,,,,
7,-0.844555,,,,,
8,-0.866684,,,,,
9,-0.90758,,,,,
10,-0.940458,,,,,
11,-0.94608,,,,,
12,-0.937332,,,,,
13,-0.929735,,,,,
14,-0.927234,,,,,
15,-0.931596,,,,,
16,-0.943742,,,,,
17,-0.959761,,,,,
18,-0.971326,,,,,
19,-0.973651,,,,,
20,-0.969798,,,,,
21,-0.965386,,,,,
22,-0.963855,,,,,
23,-0.966543,,,,,
24,-0.972283,,,,,
