Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.146192,0.82,7,-0.9491979422,0.05,19.9176
1,0.061243,,,,,
2,-0.003608,,,,,
3,-0.061339,,,,,
4,-0.152311,,,,,
5,-0.312601,,,,,
6,-0.528908,,,,,
7,-0.683382,,,,,
8,-0.745053,,,,,
9,-0.812537,,,,,
10,-0.877752,,,,,
11,-0.910793,,,,,
12,-0.909041,,,,,
13,-0.891534,,,,,
14,-0.882417,,,,,
15,-0.88325,,,,,
16,-0.887553,,,,,
17,-0.899708,,,,,
18,-0.920486,,,,,
19,-0.941315,,,,,
20,-0.956811,,,,,
21,-0.962593,,,,,
22,-0.95597,,,,,
23,-0.947448,,,,,
24,-0.949198,,,,,
