Step,Energy (Hartree),Bond_length,num_qubits,Final_energy,exec_secs
0,-0.01393,0.62,7,-1.133301114,3.6604
1,-0.269347,,,,
2,-0.272357,,,,
3,-0.378302,,,,
4,-0.53333,,,,
5,-0.639472,,,,
6,-0.736504,,,,
7,-0.885009,,,,
8,-1.027157,,,,
9,-1.056165,,,,
10,-1.005405,,,,
11,-0.990241,,,,
12,-1.002854,,,,
13,-1.004855,,,,
14,-1.01382,,,,
15,-1.042133,,,,
16,-1.061265,,,,
17,-1.06668,,,,
18,-1.080137,,,,
19,-1.098341,,,,
20,-1.10178,,,,
21,-1.095184,,,,
22,-1.095562,,,,
23,-1.097281,,,,
24,-1.093694,,,,
25,-1.093823,,,,
26,-1.10129,,,,
27,-1.108105,,,,
28,-1.111266,,,,
29,-1.115138,,,,
30,-1.117915,,,,
31,-1.117063,,,,
32,-1.117849,,,,
33,-1.122374,,,,
34,-1.125064,,,,
35,-1.124182,,,,
36,-1.123887,,,,
37,-1.123793,,,,
38,-1.122685,,,,
39,-1.123329,,,,
40,-1.126032,,,,
41,-1.127808,,,,
42,-1.128821,,,,
43,-1.130257,,,,
44,-1.130428,,,,
45,-1.129693,,,,
46,-1.129833,,,,
47,-1.129966,,,,
48,-1.129542,,,,
49,-1.129935,,,,
50,-1.130487,,,,
51,-1.130589,,,,
52,-1.131202,,,,
53,-1.131982,,,,
54,-1.132182,,,,
55,-1.132393,,,,
56,-1.132305,,,,
57,-1.131775,,,,
58,-1.131718,,,,
59,-1.132027,,,,
60,-1.132291,,,,
61,-1.13273,,,,
62,-1.132917,,,,
63,-1.132789,,,,
64,-1.132794,,,,
65,-1.132754,,,,
66,-1.13276,,,,
67,-1.132909,,,,
68,-1.132889,,,,
69,-1.132859,,,,
70,-1.132935,,,,
71,-1.132997,,,,
72,-1.133145,,,,
73,-1.133202,,,,
74,-1.133109,,,,
75,-1.133071,,,,
76,-1.133054,,,,
77,-1.133116,,,,
78,-1.133203,,,,
79,-1.133187,,,,
80,-1.133181,,,,
81,-1.13319,,,,
82,-1.133226,,,,
83,-1.133277,,,,
84,-1.133256,,,,
85,-1.133236,,,,
86,-1.133227,,,,
87,-1.133236,,,,
88,-1.133267,,,,
89,-1.133271,,,,
90,-1.133282,,,,
91,-1.133285,,,,
92,-1.133283,,,,
93,-1.133285,,,,
94,-1.133277,,,,
95,-1.133285,,,,
96,-1.133288,,,,
97,-1.133293,,,,
98,-1.133299,,,,
99,-1.133301,,,,
