Step,Energy (Hartree),Bond_length,num_qubits,Final_energy,exec_secs
0,-0.065306,0.54,7,-1.213218732,2.9797
1,-0.367191,,,,
2,-0.63445,,,,
3,-0.792525,,,,
4,-0.949224,,,,
5,-1.056889,,,,
6,-1.114328,,,,
7,-1.131608,,,,
8,-1.117707,,,,
9,-1.094077,,,,
10,-1.079527,,,,
11,-1.078739,,,,
12,-1.08833,,,,
13,-1.105139,,,,
14,-1.128384,,,,
15,-1.153277,,,,
16,-1.173067,,,,
17,-1.185575,,,,
18,-1.192955,,,,
19,-1.194828,,,,
20,-1.188307,,,,
21,-1.176047,,,,
22,-1.16769,,,,
23,-1.169122,,,,
24,-1.176704,,,,
25,-1.184738,,,,
26,-1.192125,,,,
27,-1.19941,,,,
28,-1.204764,,,,
29,-1.206203,,,,
30,-1.204802,,,,
31,-1.20373,,,,
32,-1.20415,,,,
33,-1.204225,,,,
34,-1.20319,,,,
35,-1.202796,,,,
36,-1.203843,,,,
37,-1.205115,,,,
38,-1.206106,,,,
39,-1.207624,,,,
40,-1.209648,,,,
41,-1.210993,,,,
42,-1.211192,,,,
43,-1.21097,,,,
44,-1.21068,,,,
45,-1.209982,,,,
46,-1.209278,,,,
47,-1.2095,,,,
48,-1.210417,,,,
49,-1.211065,,,,
50,-1.211451,,,,
51,-1.2121,,,,
52,-1.212722,,,,
53,-1.212746,,,,
54,-1.21234,,,,
55,-1.212007,,,,
56,-1.211853,,,,
57,-1.211852,,,,
58,-1.2121,,,,
59,-1.212435,,,,
60,-1.212605,,,,
61,-1.21272,,,,
62,-1.212888,,,,
63,-1.212953,,,,
64,-1.212879,,,,
65,-1.212828,,,,
66,-1.212837,,,,
67,-1.212814,,,,
68,-1.212792,,,,
69,-1.212839,,,,
70,-1.212938,,,,
71,-1.213069,,,,
72,-1.213161,,,,
73,-1.213137,,,,
74,-1.21307,,,,
75,-1.213054,,,,
76,-1.213057,,,,
77,-1.213048,,,,
78,-1.213075,,,,
79,-1.213124,,,,
80,-1.213153,,,,
81,-1.213171,,,,
82,-1.213181,,,,
83,-1.213176,,,,
84,-1.21317,,,,
85,-1.213159,,,,
86,-1.213144,,,,
87,-1.213155,,,,
88,-1.213187,,,,
89,-1.213206,,,,
90,-1.213209,,,,
91,-1.213206,,,,
92,-1.213202,,,,
93,-1.213199,,,,
94,-1.213198,,,,
95,-1.213199,,,,
96,-1.213206,,,,
97,-1.213209,,,,
98,-1.213212,,,,
99,-1.213219,,,,
