Step,Energy (Hartree),Bond_length,num_qubits,Final_energy,exec_secs
0,-0.069894,0.5,7,-1.258967933,2.9641
1,-0.399557,,,,
2,-0.69962,,,,
3,-0.877995,,,,
4,-0.98608,,,,
5,-1.081237,,,,
6,-1.158462,,,,
7,-1.171413,,,,
8,-1.142731,,,,
9,-1.12175,,,,
10,-1.116191,,,,
11,-1.121632,,,,
12,-1.134994,,,,
13,-1.158814,,,,
14,-1.189157,,,,
15,-1.214496,,,,
16,-1.227121,,,,
17,-1.230302,,,,
18,-1.228764,,,,
19,-1.223007,,,,
20,-1.216031,,,,
21,-1.212811,,,,
22,-1.218507,,,,
23,-1.229481,,,,
24,-1.238276,,,,
25,-1.240661,,,,
26,-1.239568,,,,
27,-1.240149,,,,
28,-1.243128,,,,
29,-1.246459,,,,
30,-1.2481,,,,
31,-1.248348,,,,
32,-1.248242,,,,
33,-1.24835,,,,
34,-1.249141,,,,
35,-1.250382,,,,
36,-1.251586,,,,
37,-1.252725,,,,
38,-1.254133,,,,
39,-1.255817,,,,
40,-1.256629,,,,
41,-1.255651,,,,
42,-1.254034,,,,
43,-1.25372,,,,
44,-1.2549,,,,
45,-1.256156,,,,
46,-1.256676,,,,
47,-1.257019,,,,
48,-1.257645,,,,
49,-1.258029,,,,
50,-1.257738,,,,
51,-1.257245,,,,
52,-1.257127,,,,
53,-1.257344,,,,
54,-1.25769,,,,
55,-1.258162,,,,
56,-1.258609,,,,
57,-1.258728,,,,
58,-1.258554,,,,
59,-1.25841,,,,
60,-1.258402,,,,
61,-1.25843,,,,
62,-1.258508,,,,
63,-1.258683,,,,
64,-1.258849,,,,
65,-1.258922,,,,
66,-1.258947,,,,
67,-1.258937,,,,
68,-1.258871,,,,
69,-1.258838,,,,
70,-1.2589,,,,
71,-1.258976,,,,
72,-1.259014,,,,
73,-1.259065,,,,
74,-1.259107,,,,
75,-1.259051,,,,
76,-1.258919,,,,
77,-1.258728,,,,
78,-1.258283,,,,
79,-1.257483,,,,
80,-1.257332,,,,
81,-1.258626,,,,
82,-1.259061,,,,
83,-1.258098,,,,
84,-1.258332,,,,
85,-1.259125,,,,
86,-1.258554,,,,
87,-1.258488,,,,
88,-1.259157,,,,
89,-1.258783,,,,
90,-1.258657,,,,
91,-1.259153,,,,
92,-1.258884,,,,
93,-1.258794,,,,
94,-1.259169,,,,
95,-1.258967,,,,
96,-1.2589,,,,
97,-1.259179,,,,
98,-1.259029,,,,
99,-1.258968,,,,
